Username,Uploads,Subs,Video Views
 2GB Soldier Official ,266,409K,101196334
 Aahan Jasoliya ,1387,758K,722864584
 Angella Summer Namubiru ,257,2.11M,819792245
 Esinaya1 ,,33.1K,33647704
 Grandson ,628,1.31M,484557705
 Leoboymatic ,277,265K,144678989
 Reach And Raise Foundation ,614,944K,275080202
 Rico Animations ,559,10.1M,5444344948
 Shan Joe ,713,228K,224795285
 Triplets Ghetto Kids ,540,1.67M,583227641
Adamwilliamz ,1003,6.92K,2510813
Afro Generals ,125,1.04M,319432091
Aim Armstrong ,466,479K,201944580
Airtel Uganda ,1097,24.5K,74310188
Akawungeezi ,39589,538K,194761009
Alpha Media UG ,294,96K,22165006
Azawi ,200,216K,35812696
Basic Films International ,359,24.3K,8384547
BBS TEREFAYINA ,61223,472K,118221168
Bebe Cool ,202,307K,63459980
Ben - LIVE ,3435,362K,75982735
Black Market Afrika ,7004,65.1K,13168193
BOBI WINE ,151,357K,62716191
Bukedde TV ,101360,716K,409513704
Casts' Then & Now with Melanie ,250,22.3K,6443781
Cavton Music ,562,15.8K,1777781
CHALA VIDZ ,46,9.86K,3343101
Children Uganda ,468,68.7K,28343787
Chosen Becky ,208,129K,27866663
Clovis Clogram Tv ,549,88.4K,22431114
David Lutalo ,103,399K,83746369
DITEPU TWO FREE MOVIES ,819,97.3K,17668449
Eddy Kenzo ,670,2.42M,731764568
Finan ,50,7.99K,3171008
FunFactoryUganda ,1316,89.6K,25981837
G256Live ,806,8.55K,2053976
GASARO TV ,1978,319K,53135033
Gavana worldwide ? ,487,1.2M,612461900
Gossip Live ,1917,207K,53102632
Hope Kigal info ,637,78.4K,5709100
James Phred Kawalya . ,1818,158K,13730970
Jose Chameleone ,281,534K,131166283
Joziwan Daily ,361,91.5K,36623980
JoziWan ,1312,204K,177131902
Kalule Sulaiman Official ,4669,38.3K,13876820
Kansiime Anne ,1231,1.39M,301978735
Kasuku Live ,2661,141K,41044317
Kenganda ,1209,142K,26942520
KENNEDY SCHOOLS' MUSIC UG ,223,64.4K,8452011
Khushal Kerai ,1108,92.7K,70243881
King Saha Official ,64,178K,35385835
L.M. FILMS ,360,41.4K,19582964
Mac Toonz ,117,107K,35747712
ManKing ,33,15.5K,1106823
Masaka Kids Africana ,62,60.8K,12867574
Masaka Kids Afrikana ,293,3.96M,1113979593
MORRISH TEN COMEDY ,174,439K,219134944
Mr. IsHaN ,1183,418K,180001822
MTN Uganda ,1242,37.6K,27977183
Mudra D Viral ,48,107K,19652029
Mutundwe Christian Fellowship ,2701,195K,42460322
NATION INFINITY AFRICA ,2544,756K,243565440
NBS Televison ,4298,30.2K,3928591
Nkere Kids Ministries ,1460,97.4K,37344106
Ntaate ,20,141K,21842094
NTVUganda ,79403,1.08M,333630086
OP BOSS 222 ,263,26.7K,3807644
Ozay Visualz ,335,527K,151967732
Pastor Wilson Bugembe ,3571,185K,29308178
Praise and Worship Uganda ,108,242K,62848815
Princess Jane Yiga ,1000,345K,77203453
QARAAM CHANNEL ,67,109K,29777381
RADIÒ ànd WEASEL Goodlyfe ,211,330K,105119246
Radio Rwanda ,3488,190K,17095474
Salt Media Uganda ,30339,112K,16081511
Sankofa Afrika Tours & Travel Ugan… ,79,23.6K,9136175
SB4 Media Tuggusa Ensonga ,1883,290K,65679978
Sheebah ,178,607K,127416147
Situs ,17,2.25K,4347588
SOPHIE NANTONGO ,51,13K,1946003
Spice Diana ,281,523K,87655143
StarTimes Official ,2746,837K,138799206
Swangz Avenue ,349,299K,92439416
The BossPapa ,164,200K,23879251
The Celebrity Icons ,1276,78.5K,37030479
THE GAMER KH ,442,1.33M,26323757
The Kakande Ministries ,4568,3.25M,188335228
Tonny Cp Oryem ,1794,162K,46703137
Travel And Discover With Van _ Ian… ,233,13.2K,4418265
TRUST FILMS ,3089,503K,339124939
ty wazowski ,130,68.4K,166643543
UBC Television Uganda ,26550,181K,29475267
UG Live Performances ,114,53.9K,14597364
UGXTRA COMEDY ,286,1.54M,310976786
Unknown ,35,52.5K,38030495
Vinka ,36,173K,27620451
Wako Cars ,131,10.8K,23151743
William Ngabo Ministries ,1136,6.82K,1092552
Xzent Montage TV ,139,281K,69385012
Zaki honest Official ,3214,235K,56839404
