,Username,Uploads,Subs,Video Views
0, 2GB Soldier Official ,266.0,409000.0,101196334.0
1, Aahan Jasoliya ,1387.0,758000.0,722864584.0
2, Angella Summer Namubiru ,257.0,2110000.0,819792245.0
4, Grandson ,628.0,1310000.0,484557705.0
5, Leoboymatic ,277.0,265000.0,144678989.0
6, Reach And Raise Foundation ,614.0,944000.0,275080202.0
7, Rico Animations ,559.0,10100000.0,5444344948.0
8, Shan Joe ,713.0,228000.0,224795285.0
9, Triplets Ghetto Kids ,540.0,1670000.0,583227641.0
10,Adamwilliamz ,1003.0,6920.0,2510813.0
11,Afro Generals ,125.0,1040000.0,319432091.0
12,Aim Armstrong ,466.0,479000.0,201944580.0
13,Airtel Uganda ,1097.0,24500.0,74310188.0
14,Akawungeezi ,39589.0,538000.0,194761009.0
15,Alpha Media UG ,294.0,96000.0,22165006.0
16,Azawi ,200.0,216000.0,35812696.0
17,Basic Films International ,359.0,24300.0,8384547.0
18,BBS TEREFAYINA ,61223.0,472000.0,118221168.0
19,Bebe Cool ,202.0,307000.0,63459980.0
20,Ben - LIVE ,3435.0,362000.0,75982735.0
21,Black Market Afrika ,7004.0,65099.99999999999,13168193.0
22,BOBI WINE ,151.0,357000.0,62716191.0
23,Bukedde TV ,101360.0,716000.0,409513704.0
24,Casts' Then & Now with Melanie ,250.0,22300.0,6443781.0
25,Cavton Music ,562.0,15800.0,1777781.0
26,CHALA VIDZ ,46.0,9860.0,3343101.0
27,Children Uganda ,468.0,68700.0,28343787.0
28,Chosen Becky ,208.0,129000.0,27866663.0
29,Clovis Clogram Tv ,549.0,88400.0,22431114.0
30,David Lutalo ,103.0,399000.0,83746369.0
31,DITEPU TWO FREE MOVIES ,819.0,97300.0,17668449.0
32,Eddy Kenzo ,670.0,2420000.0,731764568.0
33,Finan ,50.0,7990.0,3171008.0
34,FunFactoryUganda ,1316.0,89600.0,25981837.0
35,G256Live ,806.0,8550.0,2053976.0
36,GASARO TV ,1978.0,319000.0,53135033.0
37,Gavana worldwide ? ,487.0,1200000.0,612461900.0
38,Gossip Live ,1917.0,207000.0,53102632.0
39,Hope Kigal info ,637.0,78400.0,5709100.0
40,James Phred Kawalya . ,1818.0,158000.0,13730970.0
41,Jose Chameleone ,281.0,534000.0,131166283.0
42,Joziwan Daily ,361.0,91500.0,36623980.0
43,JoziWan ,1312.0,204000.0,177131902.0
44,Kalule Sulaiman Official ,4669.0,38300.0,13876820.0
45,Kansiime Anne ,1231.0,1390000.0,301978735.0
46,Kasuku Live ,2661.0,141000.0,41044317.0
47,Kenganda ,1209.0,142000.0,26942520.0
48,KENNEDY SCHOOLS' MUSIC UG ,223.0,64400.00000000001,8452011.0
49,Khushal Kerai ,1108.0,92700.0,70243881.0
50,King Saha Official ,64.0,178000.0,35385835.0
51,L.M. FILMS ,360.0,41400.0,19582964.0
52,Mac Toonz ,117.0,107000.0,35747712.0
53,ManKing ,33.0,15500.0,1106823.0
54,Masaka Kids Africana ,62.0,60800.0,12867574.0
55,Masaka Kids Afrikana ,293.0,3960000.0,1113979593.0
56,MORRISH TEN COMEDY ,174.0,439000.0,219134944.0
57,Mr. IsHaN ,1183.0,418000.0,180001822.0
58,MTN Uganda ,1242.0,37600.0,27977183.0
59,Mudra D Viral ,48.0,107000.0,19652029.0
60,Mutundwe Christian Fellowship ,2701.0,195000.0,42460322.0
61,NATION INFINITY AFRICA ,2544.0,756000.0,243565440.0
62,NBS Televison ,4298.0,30200.0,3928591.0
63,Nkere Kids Ministries ,1460.0,97400.0,37344106.0
64,Ntaate ,20.0,141000.0,21842094.0
65,NTVUganda ,79403.0,1080000.0,333630086.0
66,OP BOSS 222 ,263.0,26700.0,3807644.0
67,Ozay Visualz ,335.0,527000.0,151967732.0
68,Pastor Wilson Bugembe ,3571.0,185000.0,29308178.0
69,Praise and Worship Uganda ,108.0,242000.0,62848815.0
70,Princess Jane Yiga ,1000.0,345000.0,77203453.0
71,QARAAM CHANNEL ,67.0,109000.0,29777381.0
72,RADIÒ ànd WEASEL Goodlyfe ,211.0,330000.0,105119246.0
73,Radio Rwanda ,3488.0,190000.0,17095474.0
74,Salt Media Uganda ,30339.0,112000.0,16081511.0
75,Sankofa Afrika Tours & Travel Ugan… ,79.0,23600.0,9136175.0
76,SB4 Media Tuggusa Ensonga ,1883.0,290000.0,65679978.0
77,Sheebah ,178.0,607000.0,127416147.0
78,Situs ,17.0,2250.0,4347588.0
79,SOPHIE NANTONGO ,51.0,13000.0,1946003.0
80,Spice Diana ,281.0,523000.0,87655143.0
81,StarTimes Official ,2746.0,837000.0,138799206.0
82,Swangz Avenue ,349.0,299000.0,92439416.0
83,The BossPapa ,164.0,200000.0,23879251.0
84,The Celebrity Icons ,1276.0,78500.0,37030479.0
85,THE GAMER KH ,442.0,1330000.0,26323757.0
86,The Kakande Ministries ,4568.0,3250000.0,188335228.0
87,Tonny Cp Oryem ,1794.0,162000.0,46703137.0
88,Travel And Discover With Van _ Ian… ,233.0,13200.0,4418265.0
89,TRUST FILMS ,3089.0,503000.0,339124939.0
90,ty wazowski ,130.0,68400.0,166643543.0
91,UBC Television Uganda ,26550.0,181000.0,29475267.0
92,UG Live Performances ,114.0,53900.0,14597364.0
93,UGXTRA COMEDY ,286.0,1540000.0,310976786.0
94,Unknown ,35.0,52500.0,38030495.0
95,Vinka ,36.0,173000.0,27620451.0
96,Wako Cars ,131.0,10800.0,23151743.0
97,William Ngabo Ministries ,1136.0,6820.0,1092552.0
98,Xzent Montage TV ,139.0,281000.0,69385012.0
99,Zaki honest Official ,3214.0,235000.0,56839404.0
